architecture,hidden_layers,neurons_per_layer,lambda,mean_accuracy,mean_f1,fold_accuracies,fold_f1s
"[20, 4, 1]",1,[4],0.0,0.81255,0.73363,"[np.float64(0.7835), np.float64(0.8144), np.float64(0.8438), np.float64(0.7895), np.float64(0.8316)]","[0.6863, 0.7355, 0.7887, 0.6943, 0.7634]"
"[20, 4, 1]",1,[4],0.1,0.81255,0.73363,"[np.float64(0.7835), np.float64(0.8144), np.float64(0.8438), np.float64(0.7895), np.float64(0.8316)]","[0.6863, 0.7355, 0.7887, 0.6943, 0.7634]"
"[20, 4, 1]",1,[4],0.01,0.81255,0.73363,"[np.float64(0.7835), np.float64(0.8144), np.float64(0.8438), np.float64(0.7895), np.float64(0.8316)]","[0.6863, 0.7355, 0.7887, 0.6943, 0.7634]"
"[20, 8, 1]",1,[8],1.0,0.81046,0.73015,"[np.float64(0.7835), np.float64(0.8144), np.float64(0.8333), np.float64(0.7895), np.float64(0.8316)]","[0.6863, 0.7355, 0.7713, 0.6943, 0.7634]"
"[20, 16, 1]",1,[16],1.0,0.81046,0.73015,"[np.float64(0.7835), np.float64(0.8144), np.float64(0.8333), np.float64(0.7895), np.float64(0.8316)]","[0.6863, 0.7355, 0.7713, 0.6943, 0.7634]"
"[20, 16, 1]",1,[16],0.25,0.81046,0.73015,"[np.float64(0.7835), np.float64(0.8144), np.float64(0.8333), np.float64(0.7895), np.float64(0.8316)]","[0.6863, 0.7355, 0.7713, 0.6943, 0.7634]"
"[20, 16, 1]",1,[16],0.01,0.81046,0.73015,"[np.float64(0.7835), np.float64(0.8144), np.float64(0.8333), np.float64(0.7895), np.float64(0.8316)]","[0.6863, 0.7355, 0.7713, 0.6943, 0.7634]"
"[20, 16, 1]",1,[16],0.0,0.81046,0.73015,"[np.float64(0.7835), np.float64(0.8144), np.float64(0.8333), np.float64(0.7895), np.float64(0.8316)]","[0.6863, 0.7355, 0.7713, 0.6943, 0.7634]"
"[20, 16, 1]",1,[16],0.1,0.81046,0.73015,"[np.float64(0.7835), np.float64(0.8144), np.float64(0.8333), np.float64(0.7895), np.float64(0.8316)]","[0.6863, 0.7355, 0.7713, 0.6943, 0.7634]"
"[20, 8, 1]",1,[8],0.25,0.81046,0.73015,"[np.float64(0.7835), np.float64(0.8144), np.float64(0.8333), np.float64(0.7895), np.float64(0.8316)]","[0.6863, 0.7355, 0.7713, 0.6943, 0.7634]"
"[20, 8, 1]",1,[8],0.1,0.81046,0.73015,"[np.float64(0.7835), np.float64(0.8144), np.float64(0.8333), np.float64(0.7895), np.float64(0.8316)]","[0.6863, 0.7355, 0.7713, 0.6943, 0.7634]"
"[20, 8, 1]",1,[8],0.01,0.81046,0.73015,"[np.float64(0.7835), np.float64(0.8144), np.float64(0.8333), np.float64(0.7895), np.float64(0.8316)]","[0.6863, 0.7355, 0.7713, 0.6943, 0.7634]"
"[20, 8, 1]",1,[8],0.0,0.81046,0.73015,"[np.float64(0.7835), np.float64(0.8144), np.float64(0.8333), np.float64(0.7895), np.float64(0.8316)]","[0.6863, 0.7355, 0.7713, 0.6943, 0.7634]"
"[20, 4, 1]",1,[4],1.0,0.81046,0.73015,"[np.float64(0.7835), np.float64(0.8144), np.float64(0.8333), np.float64(0.7895), np.float64(0.8316)]","[0.6863, 0.7355, 0.7713, 0.6943, 0.7634]"
"[20, 4, 1]",1,[4],0.25,0.81046,0.73015,"[np.float64(0.7835), np.float64(0.8144), np.float64(0.8333), np.float64(0.7895), np.float64(0.8316)]","[0.6863, 0.7355, 0.7713, 0.6943, 0.7634]"
"[20, 16, 8, 1]",2,"[16, 8]",0.0,0.69168,0.40887,"[np.float64(0.6907), np.float64(0.6907), np.float64(0.6875), np.float64(0.6947), np.float64(0.6947)]","[0.4085, 0.4085, 0.4074, 0.4099, 0.4099]"
"[20, 8, 4, 2, 1]",3,"[8, 4, 2]",0.25,0.69168,0.40887,"[np.float64(0.6907), np.float64(0.6907), np.float64(0.6875), np.float64(0.6947), np.float64(0.6947)]","[0.4085, 0.4085, 0.4074, 0.4099, 0.4099]"
"[20, 8, 4, 2, 1]",3,"[8, 4, 2]",0.1,0.69168,0.40887,"[np.float64(0.6907), np.float64(0.6907), np.float64(0.6875), np.float64(0.6947), np.float64(0.6947)]","[0.4085, 0.4085, 0.4074, 0.4099, 0.4099]"
"[20, 8, 4, 2, 1]",3,"[8, 4, 2]",0.01,0.69168,0.40887,"[np.float64(0.6907), np.float64(0.6907), np.float64(0.6875), np.float64(0.6947), np.float64(0.6947)]","[0.4085, 0.4085, 0.4074, 0.4099, 0.4099]"
"[20, 8, 4, 2, 1]",3,"[8, 4, 2]",0.0,0.69168,0.40887,"[np.float64(0.6907), np.float64(0.6907), np.float64(0.6875), np.float64(0.6947), np.float64(0.6947)]","[0.4085, 0.4085, 0.4074, 0.4099, 0.4099]"
"[20, 16, 8, 1]",2,"[16, 8]",1.0,0.69168,0.40887,"[np.float64(0.6907), np.float64(0.6907), np.float64(0.6875), np.float64(0.6947), np.float64(0.6947)]","[0.4085, 0.4085, 0.4074, 0.4099, 0.4099]"
"[20, 16, 8, 1]",2,"[16, 8]",0.25,0.69168,0.40887,"[np.float64(0.6907), np.float64(0.6907), np.float64(0.6875), np.float64(0.6947), np.float64(0.6947)]","[0.4085, 0.4085, 0.4074, 0.4099, 0.4099]"
"[20, 16, 8, 1]",2,"[16, 8]",0.1,0.69168,0.40887,"[np.float64(0.6907), np.float64(0.6907), np.float64(0.6875), np.float64(0.6947), np.float64(0.6947)]","[0.4085, 0.4085, 0.4074, 0.4099, 0.4099]"
"[20, 16, 8, 1]",2,"[16, 8]",0.01,0.69168,0.40887,"[np.float64(0.6907), np.float64(0.6907), np.float64(0.6875), np.float64(0.6947), np.float64(0.6947)]","[0.4085, 0.4085, 0.4074, 0.4099, 0.4099]"
"[20, 4, 4, 1]",2,"[4, 4]",0.1,0.69168,0.40887,"[np.float64(0.6907), np.float64(0.6907), np.float64(0.6875), np.float64(0.6947), np.float64(0.6947)]","[0.4085, 0.4085, 0.4074, 0.4099, 0.4099]"
"[20, 8, 4, 1]",2,"[8, 4]",1.0,0.69168,0.40887,"[np.float64(0.6907), np.float64(0.6907), np.float64(0.6875), np.float64(0.6947), np.float64(0.6947)]","[0.4085, 0.4085, 0.4074, 0.4099, 0.4099]"
"[20, 8, 4, 1]",2,"[8, 4]",0.25,0.69168,0.40887,"[np.float64(0.6907), np.float64(0.6907), np.float64(0.6875), np.float64(0.6947), np.float64(0.6947)]","[0.4085, 0.4085, 0.4074, 0.4099, 0.4099]"
"[20, 8, 4, 1]",2,"[8, 4]",0.1,0.69168,0.40887,"[np.float64(0.6907), np.float64(0.6907), np.float64(0.6875), np.float64(0.6947), np.float64(0.6947)]","[0.4085, 0.4085, 0.4074, 0.4099, 0.4099]"
"[20, 8, 4, 1]",2,"[8, 4]",0.01,0.69168,0.40887,"[np.float64(0.6907), np.float64(0.6907), np.float64(0.6875), np.float64(0.6947), np.float64(0.6947)]","[0.4085, 0.4085, 0.4074, 0.4099, 0.4099]"
"[20, 8, 4, 1]",2,"[8, 4]",0.0,0.69168,0.40887,"[np.float64(0.6907), np.float64(0.6907), np.float64(0.6875), np.float64(0.6947), np.float64(0.6947)]","[0.4085, 0.4085, 0.4074, 0.4099, 0.4099]"
"[20, 4, 4, 1]",2,"[4, 4]",1.0,0.69168,0.40887,"[np.float64(0.6907), np.float64(0.6907), np.float64(0.6875), np.float64(0.6947), np.float64(0.6947)]","[0.4085, 0.4085, 0.4074, 0.4099, 0.4099]"
"[20, 4, 4, 1]",2,"[4, 4]",0.25,0.69168,0.40887,"[np.float64(0.6907), np.float64(0.6907), np.float64(0.6875), np.float64(0.6947), np.float64(0.6947)]","[0.4085, 0.4085, 0.4074, 0.4099, 0.4099]"
"[20, 4, 4, 1]",2,"[4, 4]",0.01,0.69168,0.40887,"[np.float64(0.6907), np.float64(0.6907), np.float64(0.6875), np.float64(0.6947), np.float64(0.6947)]","[0.4085, 0.4085, 0.4074, 0.4099, 0.4099]"
"[20, 4, 4, 1]",2,"[4, 4]",0.0,0.69168,0.40887,"[np.float64(0.6907), np.float64(0.6907), np.float64(0.6875), np.float64(0.6947), np.float64(0.6947)]","[0.4085, 0.4085, 0.4074, 0.4099, 0.4099]"
"[20, 8, 4, 2, 1]",3,"[8, 4, 2]",1.0,0.69168,0.40887,"[np.float64(0.6907), np.float64(0.6907), np.float64(0.6875), np.float64(0.6947), np.float64(0.6947)]","[0.4085, 0.4085, 0.4074, 0.4099, 0.4099]"
