architecture,hidden_layers,neurons_per_layer,lambda,mean_accuracy,mean_f1,fold_accuracies,fold_f1s
"[7, 8, 1]",1,[8],1.0,0.86778,0.86766,"[np.float64(0.8611), np.float64(0.8778), np.float64(0.8611), np.float64(0.8944), np.float64(0.8444)]","[0.8611, 0.8774, 0.8611, 0.8943, 0.8444]"
"[7, 16, 1]",1,[16],0.1,0.86556,0.86545,"[np.float64(0.8667), np.float64(0.8722), np.float64(0.8444), np.float64(0.8944), np.float64(0.85)]","[0.8667, 0.8719, 0.8444, 0.8943, 0.85]"
"[7, 16, 1]",1,[16],0.01,0.86556,0.86545,"[np.float64(0.8667), np.float64(0.8722), np.float64(0.8444), np.float64(0.8944), np.float64(0.85)]","[0.8667, 0.8719, 0.8444, 0.8943, 0.85]"
"[7, 16, 1]",1,[16],0.0,0.86556,0.86545,"[np.float64(0.8667), np.float64(0.8722), np.float64(0.8444), np.float64(0.8944), np.float64(0.85)]","[0.8667, 0.8719, 0.8444, 0.8943, 0.85]"
"[7, 8, 1]",1,[8],0.25,0.86556,0.86544,"[np.float64(0.8611), np.float64(0.8778), np.float64(0.8556), np.float64(0.8944), np.float64(0.8389)]","[0.8611, 0.8774, 0.8555, 0.8943, 0.8389]"
"[7, 16, 1]",1,[16],0.25,0.86444,0.86434,"[np.float64(0.8667), np.float64(0.8722), np.float64(0.8444), np.float64(0.8944), np.float64(0.8444)]","[0.8667, 0.8719, 0.8444, 0.8943, 0.8444]"
"[7, 8, 1]",1,[8],0.1,0.86444,0.86434,"[np.float64(0.8611), np.float64(0.8722), np.float64(0.8556), np.float64(0.8944), np.float64(0.8389)]","[0.8611, 0.8719, 0.8555, 0.8943, 0.8389]"
"[7, 4, 1]",1,[4],0.01,0.86444,0.86433,"[np.float64(0.8611), np.float64(0.8778), np.float64(0.85), np.float64(0.8944), np.float64(0.8389)]","[0.8611, 0.8774, 0.85, 0.8943, 0.8389]"
"[7, 4, 1]",1,[4],0.0,0.86444,0.86433,"[np.float64(0.8611), np.float64(0.8778), np.float64(0.85), np.float64(0.8944), np.float64(0.8389)]","[0.8611, 0.8774, 0.85, 0.8943, 0.8389]"
"[7, 4, 1]",1,[4],1.0,0.86444,0.86433,"[np.float64(0.8611), np.float64(0.8778), np.float64(0.8444), np.float64(0.8944), np.float64(0.8444)]","[0.8611, 0.8774, 0.8444, 0.8943, 0.8444]"
"[7, 4, 1]",1,[4],0.25,0.86444,0.86433,"[np.float64(0.8611), np.float64(0.8778), np.float64(0.85), np.float64(0.8944), np.float64(0.8389)]","[0.8611, 0.8774, 0.85, 0.8943, 0.8389]"
"[7, 4, 1]",1,[4],0.1,0.86444,0.86433,"[np.float64(0.8611), np.float64(0.8778), np.float64(0.85), np.float64(0.8944), np.float64(0.8389)]","[0.8611, 0.8774, 0.85, 0.8943, 0.8389]"
"[7, 8, 1]",1,[8],0.01,0.86333,0.86324,"[np.float64(0.8611), np.float64(0.8722), np.float64(0.8556), np.float64(0.8889), np.float64(0.8389)]","[0.8611, 0.8719, 0.8555, 0.8888, 0.8389]"
"[7, 8, 1]",1,[8],0.0,0.86333,0.86324,"[np.float64(0.8611), np.float64(0.8722), np.float64(0.8556), np.float64(0.8889), np.float64(0.8389)]","[0.8611, 0.8719, 0.8555, 0.8888, 0.8389]"
"[7, 16, 1]",1,[16],1.0,0.86333,0.86323,"[np.float64(0.8611), np.float64(0.8722), np.float64(0.8444), np.float64(0.8944), np.float64(0.8444)]","[0.8611, 0.8719, 0.8444, 0.8943, 0.8444]"
"[7, 16, 8, 1]",2,"[16, 8]",0.0,0.80889,0.80299,"[np.float64(0.8444), np.float64(0.8611), np.float64(0.8), np.float64(0.8167), np.float64(0.7222)]","[0.8435, 0.8611, 0.7957, 0.8118, 0.7028]"
"[7, 16, 8, 1]",2,"[16, 8]",0.01,0.80667,0.8005,"[np.float64(0.8444), np.float64(0.8556), np.float64(0.8), np.float64(0.8167), np.float64(0.7167)]","[0.8435, 0.8556, 0.7957, 0.8118, 0.6959]"
"[7, 16, 8, 1]",2,"[16, 8]",0.1,0.80444,0.79714,"[np.float64(0.8444), np.float64(0.8556), np.float64(0.8056), np.float64(0.8222), np.float64(0.6944)]","[0.8435, 0.8556, 0.8017, 0.8171, 0.6678]"
"[7, 16, 8, 1]",2,"[16, 8]",0.25,0.79556,0.78614,"[np.float64(0.85), np.float64(0.8444), np.float64(0.8111), np.float64(0.7944), np.float64(0.6778)]","[0.849, 0.8444, 0.8077, 0.7864, 0.6432]"
"[7, 16, 8, 1]",2,"[16, 8]",1.0,0.76,0.74286,"[np.float64(0.8444), np.float64(0.7444), np.float64(0.8167), np.float64(0.7778), np.float64(0.6167)]","[0.8425, 0.7371, 0.8166, 0.7674, 0.5506]"
"[7, 8, 4, 1]",2,"[8, 4]",1.0,0.71667,0.67841,"[np.float64(0.5), np.float64(0.7889), np.float64(0.7722), np.float64(0.8), np.float64(0.7222)]","[0.3333, 0.7876, 0.7702, 0.8, 0.701]"
"[7, 8, 4, 1]",2,"[8, 4]",0.25,0.71333,0.67051,"[np.float64(0.5), np.float64(0.8333), np.float64(0.7556), np.float64(0.7278), np.float64(0.75)]","[0.3333, 0.8333, 0.7415, 0.7096, 0.7349]"
"[7, 8, 4, 1]",2,"[8, 4]",0.0,0.71,0.66614,"[np.float64(0.5), np.float64(0.8389), np.float64(0.7389), np.float64(0.7167), np.float64(0.7556)]","[0.3333, 0.8385, 0.7215, 0.6959, 0.7415]"
"[7, 8, 4, 1]",2,"[8, 4]",0.01,0.71,0.66614,"[np.float64(0.5), np.float64(0.8389), np.float64(0.7389), np.float64(0.7167), np.float64(0.7556)]","[0.3333, 0.8385, 0.7215, 0.6959, 0.7415]"
"[7, 8, 4, 1]",2,"[8, 4]",0.1,0.70889,0.66485,"[np.float64(0.5), np.float64(0.8389), np.float64(0.7389), np.float64(0.7167), np.float64(0.75)]","[0.3333, 0.8386, 0.7215, 0.6959, 0.7349]"
"[7, 4, 4, 1]",2,"[4, 4]",0.1,0.61333,0.54197,"[np.float64(0.5), np.float64(0.5444), np.float64(0.6556), np.float64(0.6611), np.float64(0.7056)]","[0.3333, 0.4251, 0.6535, 0.6203, 0.6776]"
"[7, 4, 4, 1]",2,"[4, 4]",0.01,0.60778,0.53712,"[np.float64(0.5), np.float64(0.5556), np.float64(0.6389), np.float64(0.6889), np.float64(0.6556)]","[0.3333, 0.4462, 0.6388, 0.6581, 0.6092]"
"[7, 4, 4, 1]",2,"[4, 4]",0.0,0.60556,0.53388,"[np.float64(0.5), np.float64(0.5556), np.float64(0.6389), np.float64(0.6889), np.float64(0.6444)]","[0.3333, 0.4462, 0.6388, 0.6581, 0.593]"
"[7, 4, 4, 1]",2,"[4, 4]",0.25,0.60556,0.52769,"[np.float64(0.5), np.float64(0.5278), np.float64(0.6389), np.float64(0.6222), np.float64(0.7389)]","[0.3333, 0.3923, 0.6247, 0.5635, 0.7246]"
"[7, 8, 4, 2, 1]",3,"[8, 4, 2]",0.0,0.49778,0.36559,"[np.float64(0.4722), np.float64(0.5111), np.float64(0.5), np.float64(0.5056), np.float64(0.5)]","[0.4582, 0.3576, 0.3333, 0.3456, 0.3333]"
"[7, 4, 4, 1]",2,"[4, 4]",1.0,0.50778,0.35199,"[np.float64(0.5), np.float64(0.5), np.float64(0.5111), np.float64(0.5056), np.float64(0.5222)]","[0.3333, 0.3333, 0.3576, 0.3548, 0.3809]"
"[7, 8, 4, 2, 1]",3,"[8, 4, 2]",0.01,0.50667,0.35141,"[np.float64(0.5111), np.float64(0.5222), np.float64(0.5), np.float64(0.5), np.float64(0.5)]","[0.3665, 0.3809, 0.3333, 0.343, 0.3333]"
"[7, 8, 4, 2, 1]",3,"[8, 4, 2]",0.25,0.5,0.33333,"[np.float64(0.5), np.float64(0.5), np.float64(0.5), np.float64(0.5), np.float64(0.5)]","[0.3333, 0.3333, 0.3333, 0.3333, 0.3333]"
"[7, 8, 4, 2, 1]",3,"[8, 4, 2]",1.0,0.5,0.33333,"[np.float64(0.5), np.float64(0.5), np.float64(0.5), np.float64(0.5), np.float64(0.5)]","[0.3333, 0.3333, 0.3333, 0.3333, 0.3333]"
"[7, 8, 4, 2, 1]",3,"[8, 4, 2]",0.1,0.45556,0.3236,"[np.float64(0.5), np.float64(0.5222), np.float64(0.5), np.float64(0.5), np.float64(0.2556)]","[0.3333, 0.3809, 0.3333, 0.3333, 0.2371]"
