architecture,hidden_layers,neurons_per_layer,lambda,mean_accuracy,mean_f1,fold_accuracies,fold_f1s
"[30, 8, 1]",1,[8],0.0,0.97019,0.96761,"[np.float64(0.9652), np.float64(0.9565), np.float64(0.9735), np.float64(1.0), np.float64(0.9558)]","[0.9621, 0.9524, 0.9717, 1.0, 0.9519]"
"[30, 16, 1]",1,[16],0.1,0.96842,0.96562,"[np.float64(0.9652), np.float64(0.9565), np.float64(0.9735), np.float64(1.0), np.float64(0.9469)]","[0.9621, 0.9524, 0.9717, 1.0, 0.942]"
"[30, 16, 1]",1,[16],0.0,0.96842,0.96562,"[np.float64(0.9652), np.float64(0.9565), np.float64(0.9735), np.float64(1.0), np.float64(0.9469)]","[0.9621, 0.9524, 0.9717, 1.0, 0.942]"
"[30, 16, 1]",1,[16],0.01,0.96842,0.96562,"[np.float64(0.9652), np.float64(0.9565), np.float64(0.9735), np.float64(1.0), np.float64(0.9469)]","[0.9621, 0.9524, 0.9717, 1.0, 0.942]"
"[30, 8, 1]",1,[8],0.01,0.96842,0.96562,"[np.float64(0.9652), np.float64(0.9565), np.float64(0.9735), np.float64(1.0), np.float64(0.9469)]","[0.9621, 0.9524, 0.9717, 1.0, 0.942]"
"[30, 8, 1]",1,[8],0.1,0.96842,0.96562,"[np.float64(0.9652), np.float64(0.9565), np.float64(0.9735), np.float64(1.0), np.float64(0.9469)]","[0.9621, 0.9524, 0.9717, 1.0, 0.942]"
"[30, 16, 1]",1,[16],0.25,0.96665,0.9637,"[np.float64(0.9652), np.float64(0.9565), np.float64(0.9646), np.float64(1.0), np.float64(0.9469)]","[0.9621, 0.9524, 0.9621, 1.0, 0.942]"
"[30, 8, 1]",1,[8],0.25,0.96665,0.9637,"[np.float64(0.9652), np.float64(0.9565), np.float64(0.9646), np.float64(1.0), np.float64(0.9469)]","[0.9621, 0.9524, 0.9621, 1.0, 0.942]"
"[30, 4, 1]",1,[4],0.01,0.96485,0.96182,"[np.float64(0.9652), np.float64(0.9652), np.float64(0.9558), np.float64(0.9912), np.float64(0.9469)]","[0.9621, 0.9621, 0.9524, 0.9906, 0.942]"
"[30, 4, 1]",1,[4],0.0,0.96485,0.96182,"[np.float64(0.9652), np.float64(0.9652), np.float64(0.9558), np.float64(0.9912), np.float64(0.9469)]","[0.9621, 0.9621, 0.9524, 0.9906, 0.942]"
